Stock,UPC,Name,Price,Compatible Intel Sockets,Compatible AMD Sockets,Water Pump Speed,Radiator Size,Fan Size,Fan System,Fan Speed,Fan Airflow,Fan Max. Air Pressure,Fan Noise
0,815671015297,NZXT Kraken Z63 280mm RGB CPU Water Cooling Kit,$260,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
",AM4,800 to 2800 RPM,280mm,140mm,2 x 140mm Fans,"500 RPM to 1,800 RPM",27.27 CFM - 98.17 CFM,0.21 - 2.71 mmH2O,21-38 dBA
0,195553233149,"ASUS TUF Gaming LC 240mm ARGB All-in-One Liquid CPU Cooling Kit
",$120,"LGA 1150, 1151, 1155, 1156, 1200, 1700
","AM4, AM5",,240mm,120mm,2 x 120mm Fans,800 - 2000 RPM,67 CFM,3.0 mm-H2O,29 dBA
0,195553544375,"ASUS ROG Strix LC II 240 ARGB All-in-one AIO Liquid CPU Cooler - White
",$140,,"AM4, AM5",,240mm,120mm,2 x 120mm Fans,800 - 2500 RPM,80.95 CFM,5.0 mm-H2O,37.6 dBA
0,195553885881,"ASUS ROG Strix LC II 240 ARGB All-in-one AIO Liquid CPU Cooler
",$160,"LGA 1150, 1151, 1155, 1156, 1200, 1700, 2011, 2011-v3, 2066
","AM4, sTR4",840 - 2800 RPM,240mm,120mm,2 x 120mm Fans,"2,500 RPM",80.95 CFM,5.0 mm-H2O,37.6 dBA
0,195553885638,"ASUS ROG Ryujin II 240 ARGB All-in-One liquid CPU Cooler
",$220,"LGA 1150, 1151, 1155, 1156, 1200, 1700, 2011, 2011-v3, 2066
",AM4,840 - 2800 RPM,240mm,120mm,2 x 120mm Fans,"600 RPM to 2,200 RPM",70.07 CFM,3.88 mm-H2O,36.45 dBA
0,840353042117,"Lian Li Galahad 240mm RGB Water Cooling Kit - Black
",$130,"LGA 775, 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
",AM4,,240mm,120mm,2 x 120mm Fans,800 - 1900 RPM,69.17 CFM,2.6 mm-H2O,
0,840006648109,"Corsair iCUE H100i RGB ELITE 240mm Water Cooling Kit - Black
",$140,"LGA 1150, 1151, 1155, 1156, 1200, 1700, 2011, 2011-v3, 2066
","AM4, sTRX4",,240mm,120mm,2 x 120mm Fans,"400 RPM to 1,850 RPM",10.9 CFM - 59.1 CFM,0.09 - 1.92 mmH2O,31.5 dBA
0,824142259047,"MSI MAG CORELIQUID P240 240mm All-in-One Water Cooling Kit
",$90,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
","4,200 RPM",240mm,120mm, 2 x 120mm Fans,"500 RPM to 2,000 RPM",78.73 CM,2.39 mm-H2O,14.3 dBA to 34.3 dBA
0,824142261583,"MSI MEG CORELIQUID S360 360mm Water Cooling Kit
",$285,"LGA 1150, 1151, 1155, 1156, 1200, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4, AM5, TR4, sTRX4, SP3
",,360mm,120mm,3 x 120mm Fans,"Up to 2,000 RPM",56.2 CFM,2.21 mm-H2O,22.7 dBA
0,884102067891,"Cooler Master MasterLiquid ML240L RGB V2 240mm Water Cooling Kit
",$100,"LGA 775, 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
",,240mm,120mm,2 x 120mm Fans,"650 RPM to 1,800 RPM",62 CFM,2.5 mm-H2O,8 to 27 dBA
0,815671016645,"NZXT Kraken Z53 RGB 240mm AIO Water Cooling Kit - White
",$265,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
",AM4,800 - 2800 RPM,240mm,120mm,2 x 120mm Fans,"500 RPM to 1,500 RPM",17.48 CFM - 52.44 CFM,0.14 - 1.35mmH2O,22 dBa to 33 dBA
0,815671016652,"NZXT Kraken Z63 280mm RGB AIO Water Cooling Kit
",$290,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066
",AM4,800 - 2800 RPM,280mm,140mm,2 x 140mm Fans,"500 RPM to 1,500 RPM",30.39 CFM - 91.19 CFM,0.17 - 1.52mm H2O,
0,840006643432,"Corsair iCUE H170i ELITE CAPELLIX 420mm RGB All-in-One Water Cooling Kit - Black
",$208,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2066
","AM4, sTR4, STRX4",,420mm,140mm,3 x 140mm Fans,"2,000 RPM",55.4 CFM,1.27 mm-H2O,10 dBA to 37 dBA
0,824142259016,"MSI MAG CORELIQUID C360 360mm RGB Water Cooling Kit
",$160,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, SP3
","4,200 RPM",360mm,120mm,3 x 120mm Fans,"500 RPM to 2,000 RPM","78,73 CFM",14.3 dBA to 34.3 dBA,
0,824142258996,"MSI MAG CORELIQUID C240 240mm RGB Water Cooling Kit - Black
",$120,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
","4,200 RPM",240mm,120mm,2 x 120mm Fans,"500 RPM to 2,000 RPM",21.63 CFM - 78.73 CFM,0.23 - 2.39 mmH2O,14.3 dBA to 34.3 dBA
0,815671016638,"NZXT Kraken Z73 RGB 360mm AIO Water Cooling Kit - Black
",$320,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
",AM4,800 - 2800 RPM,360mm,120mm,3 x 120mm Fans,"500 RPM to 1,350 RPM",17.48 CFM - 52.44 CFM,0.15 - 1.35mmH2O,22 dBA to 33 dBA
0,824142273661,"MSI MAG CoreLiquid 240R V2 240mm RGB Water Cooling Kit - White
",$125,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
","4,200 RPM",240mm,120mm,2 x 120mm Fans,"500 RPM to 2,000 RPM",21.63 CFM - 78.73 CFM,0.23 - 2.39 mmH2O,14.3 dBA to 34.3 dBA
0,884102083846,"Cooler Master MasterLiquid ML240L V2 RGB White Edition 240mm RGB Water Cooling Kit
",$100,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
",,240mm,120mm,2 x 120mm Fans,"650 RPM to 1,800 RPM",62 CFM,2.5 mm-H2O,8 to 27 dBA
0,824142262931,"MSI MAG Coreliquid 280R 280mm Water Cooling Kit
",$125,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
","4,200 RPM
",280mm,140mm,2 x 140mm Fans,"500 RPM to 1,800 RPM",84.36 CFM,2.29mm-H2O,14.8 dBA to 33.28 dBA
0,884102067884,"Cooler Master MasterLiquid ML120L RGB V2 120mm Water Cooling Kit
",$90,"LGA 775, 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
",,120mm,120mm,1 x 120mm Fan,"650 RPM to 1,800 RPM",62 CFM,2.5 mm-H2O,8 to 27 dBA
0,824142259009,"MSI MAG CORELIQUID C280 280mm All-in-One Water Cooling Kit
",$150,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066
","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4
","4,200 RPM",280mm,140mm,2 x 140mm Fan,"500 RPM to 1,800 RPM",84.36 CFM,2.29mm-H2O,14.8 dBA to 33.28 dBA
0,192876550939,"ASUS ROG Strix LC 240mm RGB Water Cooling Kit - White
",$130,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066
",AM4,,240mm,120mm,,800 - 2500 RPM,80.95 CFM,5.0mm-H2O,
